,token,alg,alg_id,chapter,verse,book
0,"\w Long|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G38190"" x-lemma=""πάλαι"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάλαι""\\*']",59-HEB-1,1,1,59-HEB
1," \w ago|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G38190"" x-lemma=""πάλαι"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάλαι""\\*']",59-HEB-1,1,1,59-HEB
2,,"['\\zaln-s |x-strong=""G38190"" x-lemma=""πάλαι"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάλαι""\\*']",59-HEB-1,1,1,59-HEB
3," \w God|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὁ""\\*', '\\zaln-s |x-strong=""G23160"" x-lemma=""θεός"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Θεὸς""\\*']",59-HEB-2,1,1,59-HEB
4,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὁ""\\*', '\\zaln-s |x-strong=""G23160"" x-lemma=""θεός"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Θεὸς""\\*']",59-HEB-2,1,1,59-HEB
5,,[],59-HEB-3,1,1,59-HEB
6," \w spoke|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G29800"" x-lemma=""λαλέω"" x-morph=""Gr,V,PAA,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""λαλήσας""\\*']",59-HEB-4,1,1,59-HEB
7,,"['\\zaln-s |x-strong=""G29800"" x-lemma=""λαλέω"" x-morph=""Gr,V,PAA,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""λαλήσας""\\*']",59-HEB-4,1,1,59-HEB
8," \w to|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*']",59-HEB-5,1,1,59-HEB
9," \w our|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*']",59-HEB-5,1,1,59-HEB
10,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*']",59-HEB-5,1,1,59-HEB
11," \w ancestors|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39620"" x-lemma=""πατήρ"" x-morph=""Gr,N,,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πατράσιν""\\*']",59-HEB-6,1,1,59-HEB
12,,"['\\zaln-s |x-strong=""G39620"" x-lemma=""πατήρ"" x-morph=""Gr,N,,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πατράσιν""\\*']",59-HEB-6,1,1,59-HEB
13," \w through|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G17220"" x-lemma=""ἐν"" x-morph=""Gr,P,,,,,D,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐν""\\*']",59-HEB-7,1,1,59-HEB
14,,"['\\zaln-s |x-strong=""G17220"" x-lemma=""ἐν"" x-morph=""Gr,P,,,,,D,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐν""\\*']",59-HEB-7,1,1,59-HEB
15," \w the|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""2"" x-occurrences=""2"" x-content=""τοῖς""\\*']",59-HEB-8,1,1,59-HEB
16,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""2"" x-occurrences=""2"" x-content=""τοῖς""\\*']",59-HEB-8,1,1,59-HEB
17," \w prophets|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G43960"" x-lemma=""προφήτης"" x-morph=""Gr,N,,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""προφήταις""\\*']",59-HEB-9,1,1,59-HEB
18,,"['\\zaln-s |x-strong=""G43960"" x-lemma=""προφήτης"" x-morph=""Gr,N,,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""προφήταις""\\*']",59-HEB-9,1,1,59-HEB
19," \w at|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G41810"" x-lemma=""πολυμερῶς"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυμερῶς""\\*']",59-HEB-10,1,1,59-HEB
20," \w many|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G41810"" x-lemma=""πολυμερῶς"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυμερῶς""\\*']",59-HEB-10,1,1,59-HEB
21," \w times|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G41810"" x-lemma=""πολυμερῶς"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυμερῶς""\\*']",59-HEB-10,1,1,59-HEB
22,,"['\\zaln-s |x-strong=""G41810"" x-lemma=""πολυμερῶς"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυμερῶς""\\*']",59-HEB-10,1,1,59-HEB
23," \w and|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""καὶ""\\*']",59-HEB-11,1,1,59-HEB
24,,"['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""καὶ""\\*']",59-HEB-11,1,1,59-HEB
25," \w in|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G41870"" x-lemma=""πολυτρόπως"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυτρόπως""\\*']",59-HEB-12,1,1,59-HEB
26," \w many|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""G41870"" x-lemma=""πολυτρόπως"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυτρόπως""\\*']",59-HEB-12,1,1,59-HEB
27," \w ways|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G41870"" x-lemma=""πολυτρόπως"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυτρόπως""\\*']",59-HEB-12,1,1,59-HEB
28,,"['\\zaln-s |x-strong=""G41870"" x-lemma=""πολυτρόπως"" x-morph=""Gr,D,,,,,,,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πολυτρόπως""\\*']",59-HEB-12,1,1,59-HEB
29,.,[],59-HEB-13,1,1,59-HEB
30,"\w But|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G19090"" x-lemma=""ἐπί"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐπ’""\\*']",59-HEB-14,1,2,59-HEB
31," \w in|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G19090"" x-lemma=""ἐπί"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐπ’""\\*']",59-HEB-14,1,2,59-HEB
32,,"['\\zaln-s |x-strong=""G19090"" x-lemma=""ἐπί"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐπ’""\\*']",59-HEB-14,1,2,59-HEB
33," \w these|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G37780"" x-lemma=""οὗτος"" x-morph=""Gr,ED,,,,GFP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τούτων""\\*']",59-HEB-15,1,2,59-HEB
34,,"['\\zaln-s |x-strong=""G37780"" x-lemma=""οὗτος"" x-morph=""Gr,ED,,,,GFP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τούτων""\\*']",59-HEB-15,1,2,59-HEB
35," \w last|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G20780"" x-lemma=""ἔσχατος"" x-morph=""Gr,NS,,,,GNS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐσχάτου""\\*']",59-HEB-16,1,2,59-HEB
36,,"['\\zaln-s |x-strong=""G20780"" x-lemma=""ἔσχατος"" x-morph=""Gr,NS,,,,GNS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐσχάτου""\\*']",59-HEB-16,1,2,59-HEB
37," \w days|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,GFP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τῶν""\\*', '\\zaln-s |x-strong=""G22500"" x-lemma=""ἡμέρα"" x-morph=""Gr,N,,,,,GFP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἡμερῶν""\\*']",59-HEB-17,1,2,59-HEB
38,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,GFP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τῶν""\\*', '\\zaln-s |x-strong=""G22500"" x-lemma=""ἡμέρα"" x-morph=""Gr,N,,,,,GFP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἡμερῶν""\\*']",59-HEB-17,1,2,59-HEB
39,,[],59-HEB-18,1,2,59-HEB
40,", \w he|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s |x-strong=""G29800"" x-lemma=""λαλέω"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐλάλησεν""\\*']",59-HEB-19,1,2,59-HEB
41," \w has|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G29800"" x-lemma=""λαλέω"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐλάλησεν""\\*']",59-HEB-19,1,2,59-HEB
42," \w spoken|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G29800"" x-lemma=""λαλέω"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐλάλησεν""\\*']",59-HEB-19,1,2,59-HEB
43,,"['\\zaln-s |x-strong=""G29800"" x-lemma=""λαλέω"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐλάλησεν""\\*']",59-HEB-19,1,2,59-HEB
44," \w to|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G14730"" x-lemma=""ἐγώ"" x-morph=""Gr,RP,,,1D,P,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἡμῖν""\\*']",59-HEB-20,1,2,59-HEB
45," \w us|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G14730"" x-lemma=""ἐγώ"" x-morph=""Gr,RP,,,1D,P,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἡμῖν""\\*']",59-HEB-20,1,2,59-HEB
46,,"['\\zaln-s |x-strong=""G14730"" x-lemma=""ἐγώ"" x-morph=""Gr,RP,,,1D,P,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἡμῖν""\\*']",59-HEB-20,1,2,59-HEB
47," \w through|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G17220"" x-lemma=""ἐν"" x-morph=""Gr,P,,,,,D,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐν""\\*']",59-HEB-21,1,2,59-HEB
48,,"['\\zaln-s |x-strong=""G17220"" x-lemma=""ἐν"" x-morph=""Gr,P,,,,,D,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐν""\\*']",59-HEB-21,1,2,59-HEB
49," \w a|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G52070"" x-lemma=""υἱός"" x-morph=""Gr,N,,,,,DMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Υἱῷ""\\*']",59-HEB-22,1,2,59-HEB
50," \w Son|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G52070"" x-lemma=""υἱός"" x-morph=""Gr,N,,,,,DMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Υἱῷ""\\*']",59-HEB-22,1,2,59-HEB
51,,"['\\zaln-s |x-strong=""G52070"" x-lemma=""υἱός"" x-morph=""Gr,N,,,,,DMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Υἱῷ""\\*']",59-HEB-22,1,2,59-HEB
52,", \w whom|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G37390"" x-lemma=""ὅς"" x-morph=""Gr,RR,,,,AMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὃν""\\*']",59-HEB-23,1,2,59-HEB
53,,"['\\zaln-s |x-strong=""G37390"" x-lemma=""ὅς"" x-morph=""Gr,RR,,,,AMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὃν""\\*']",59-HEB-23,1,2,59-HEB
54," \w he|x-occurrence=""2"" x-occurrences=""3""","['\\zaln-s |x-strong=""G50870"" x-lemma=""τίθημι"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἔθηκεν""\\*']",59-HEB-24,1,2,59-HEB
55," \w appointed|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G50870"" x-lemma=""τίθημι"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἔθηκεν""\\*']",59-HEB-24,1,2,59-HEB
56," \w to|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""G50870"" x-lemma=""τίθημι"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἔθηκεν""\\*']",59-HEB-24,1,2,59-HEB
57," \w be|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G50870"" x-lemma=""τίθημι"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἔθηκεν""\\*']",59-HEB-24,1,2,59-HEB
58,,"['\\zaln-s |x-strong=""G50870"" x-lemma=""τίθημι"" x-morph=""Gr,V,IAA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἔθηκεν""\\*']",59-HEB-24,1,2,59-HEB
59," \w the|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G28180"" x-lemma=""κληρονόμος"" x-morph=""Gr,N,,,,,AMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κληρονόμον""\\*']",59-HEB-25,1,2,59-HEB
60," \w heir|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G28180"" x-lemma=""κληρονόμος"" x-morph=""Gr,N,,,,,AMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κληρονόμον""\\*']",59-HEB-25,1,2,59-HEB
61,,"['\\zaln-s |x-strong=""G28180"" x-lemma=""κληρονόμος"" x-morph=""Gr,N,,,,,AMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κληρονόμον""\\*']",59-HEB-25,1,2,59-HEB
62," \w of|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,RI,,,,GNP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάντων""\\*']",59-HEB-26,1,2,59-HEB
63," \w all|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,RI,,,,GNP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάντων""\\*']",59-HEB-26,1,2,59-HEB
64," \w things|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,RI,,,,GNP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάντων""\\*']",59-HEB-26,1,2,59-HEB
65,,"['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,RI,,,,GNP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πάντων""\\*']",59-HEB-26,1,2,59-HEB
