index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w βίβλος|lemma=""βίβλος"" strong=""G09760"" x-morph=""Gr,N,,,,,NFS,""",1,1, βίβλος,,"Gr,N,,,,,NFS,",βίβλος,G09760,False,G09760,,0,1,1,41-MAT
1," \w γενέσεως|lemma=""γένεσις"" strong=""G10780"" x-morph=""Gr,N,,,,,GFS,""",1,1, γενέσεως,,"Gr,N,,,,,GFS,",γένεσις,G10780,False,G10780,,1,1,1,41-MAT
2," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,2,1,1,41-MAT
3," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,3,1,1,41-MAT
4,", \w υἱοῦ|lemma=""υἱός"" strong=""G52070"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, υἱοῦ,", ","Gr,N,,,,,GMS,",υἱός,G52070,False,G52070,rc://*/tw/dict/bible/kt/son,4,2,1,41-MAT
5," \w Δαυεὶδ|lemma=""Δαυείδ"" strong=""G11380"" x-morph=""Gr,N,,,,,GMSI"" x-tw=""rc://*/tw/dict/bible/names/david""",1,1, Δαυεὶδ,,"Gr,N,,,,,GMSI",Δαυείδ,G11380,False,G11380,rc://*/tw/dict/bible/names/david,5,1,1,41-MAT
6,", \w υἱοῦ|lemma=""υἱός"" strong=""G52070"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, υἱοῦ,", ","Gr,N,,,,,GMS,",υἱός,G52070,False,G52070,rc://*/tw/dict/bible/kt/son,6,2,2,41-MAT
7," \w Ἀβραάμ|lemma=""Ἀβραάμ"" strong=""G00110"" x-morph=""Gr,N,,,,,GMSI"" x-tw=""rc://*/tw/dict/bible/names/abraham""",1,1, Ἀβραάμ,,"Gr,N,,,,,GMSI",Ἀβραάμ,G00110,False,G00110,rc://*/tw/dict/bible/names/abraham,7,1,1,41-MAT
9,"\w Ἀβραὰμ|lemma=""Ἀβραάμ"" strong=""G00110"" x-morph=""Gr,N,,,,,NMSI"" x-tw=""rc://*/tw/dict/bible/names/abraham""",1,2, Ἀβραὰμ,,"Gr,N,,,,,NMSI",Ἀβραάμ,G00110,False,G00110,rc://*/tw/dict/bible/names/abraham,9,1,1,41-MAT
10," \w ἐγέννησεν|lemma=""γεννάω"" strong=""G10800"" x-morph=""Gr,V,IAA3,,S,"" x-tw=""rc://*/tw/dict/bible/other/father""",1,2, ἐγέννησεν,,"Gr,V,IAA3,,S,",γεννάω,G10800,False,G10800,rc://*/tw/dict/bible/other/father,10,3,1,41-MAT
11," \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",1,2, τὸν,,"Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,11,3,1,41-MAT
12," \w Ἰσαάκ|lemma=""Ἰσαάκ"" strong=""G24640"" x-morph=""Gr,N,,,,,AMSI"" x-tw=""rc://*/tw/dict/bible/names/isaac""",1,2, Ἰσαάκ,,"Gr,N,,,,,AMSI",Ἰσαάκ,G24640,False,G24640,rc://*/tw/dict/bible/names/isaac,12,1,1,41-MAT
13,", \w Ἰσαὰκ|lemma=""Ἰσαάκ"" strong=""G24640"" x-morph=""Gr,N,,,,,NMSI"" x-tw=""rc://*/tw/dict/bible/names/isaac""",1,2, Ἰσαὰκ,", ","Gr,N,,,,,NMSI",Ἰσαάκ,G24640,False,G24640,rc://*/tw/dict/bible/names/isaac,13,1,1,41-MAT
14," \w δὲ|lemma=""δέ"" strong=""G11610"" x-morph=""Gr,CC,,,,,,,,""",1,2, δὲ,,"Gr,CC,,,,,,,,",δέ,G11610,False,G11610,,14,2,1,41-MAT
