,token,alg,alg_id,chapter,verse,book
0,"\w Now|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַֽ\u2060יְהִי֙""\\*']",32-JON-1,1,1,32-JON
1,,"['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַֽ\u2060יְהִי֙""\\*']",32-JON-1,1,1,32-JON
2," \w the|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",32-JON-2,1,1,32-JON
3," \w word|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",32-JON-2,1,1,32-JON
4," \w of|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",32-JON-2,1,1,32-JON
5,,"['\\zaln-s |x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",32-JON-2,1,1,32-JON
6," \w Yahweh|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָ֔ה""\\*']",32-JON-3,1,1,32-JON
7,,"['\\zaln-s |x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָ֔ה""\\*']",32-JON-3,1,1,32-JON
8," \w came|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַֽ\u2060יְהִי֙""\\*']",32-JON-4,1,1,32-JON
9,,"['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַֽ\u2060יְהִי֙""\\*']",32-JON-4,1,1,32-JON
10," \w to|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H0413"" x-lemma=""אֵל"" x-morph=""He,R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֶל""\\*']",32-JON-5,1,1,32-JON
11,,"['\\zaln-s |x-strong=""H0413"" x-lemma=""אֵל"" x-morph=""He,R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֶל""\\*']",32-JON-5,1,1,32-JON
12," \w Jonah|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H3124"" x-lemma=""יוֹנָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יוֹנָ֥ה""\\*']",32-JON-6,1,1,32-JON
13,,"['\\zaln-s |x-strong=""H3124"" x-lemma=""יוֹנָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יוֹנָ֥ה""\\*']",32-JON-6,1,1,32-JON
14," \w son|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H1121a"" x-lemma=""בֵּן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בֶן""\\*']",32-JON-7,1,1,32-JON
15," \w of|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""H1121a"" x-lemma=""בֵּן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בֶן""\\*']",32-JON-7,1,1,32-JON
