,token,alg,alg_id,chapter,verse,book
0,"\w Now|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֗י""\\*']",08-RUT-1,1,1,08-RUT
1," \w it|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֗י""\\*']",08-RUT-1,1,1,08-RUT
2," \w happened|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֗י""\\*']",08-RUT-1,1,1,08-RUT
3,,"['\\zaln-s |x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֗י""\\*']",08-RUT-1,1,1,08-RUT
4," \w in|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s |x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵי֙""\\*']",08-RUT-2,1,1,08-RUT
5," \w the|x-occurrence=""1"" x-occurrences=""5""","['\\zaln-s |x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵי֙""\\*']",08-RUT-2,1,1,08-RUT
6," \w days|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵי֙""\\*']",08-RUT-2,1,1,08-RUT
7," \w of|x-occurrence=""1"" x-occurrences=""4""","['\\zaln-s |x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵי֙""\\*']",08-RUT-2,1,1,08-RUT
8,,"['\\zaln-s |x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵי֙""\\*']",08-RUT-2,1,1,08-RUT
9," \w the|x-occurrence=""2"" x-occurrences=""5""","['\\zaln-s |x-strong=""H8199"" x-lemma=""שָׁפַט"" x-morph=""He,Vqc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שְׁפֹ֣ט""\\*']",08-RUT-3,1,1,08-RUT
