,token,alg,alg_id,chapter,verse,book
0,"\w In|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:b:H8141"" x-lemma=""שָׁנֶה"" x-morph=""He,C:R:Ncfsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וּ\u2060בִ\u2060שְׁנַ֣ת""\\*']",15-EZR-1,1,1,15-EZR
1," \w the|x-occurrence=""1"" x-occurrences=""5""","['\\zaln-s | x-strong=""c:b:H8141"" x-lemma=""שָׁנֶה"" x-morph=""He,C:R:Ncfsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וּ\u2060בִ\u2060שְׁנַ֣ת""\\*']",15-EZR-1,1,1,15-EZR
2,,"['\\zaln-s | x-strong=""c:b:H8141"" x-lemma=""שָׁנֶה"" x-morph=""He,C:R:Ncfsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וּ\u2060בִ\u2060שְׁנַ֣ת""\\*']",15-EZR-1,1,1,15-EZR
3," \w first|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H0259"" x-lemma=""אֶחָד"" x-morph=""He,Acfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אַחַ֗ת""\\*']",15-EZR-2,1,1,15-EZR
4,,"['\\zaln-s | x-strong=""H0259"" x-lemma=""אֶחָד"" x-morph=""He,Acfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אַחַ֗ת""\\*']",15-EZR-2,1,1,15-EZR
5," \w year|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:b:H8141"" x-lemma=""שָׁנֶה"" x-morph=""He,C:R:Ncfsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וּ\u2060בִ\u2060שְׁנַ֣ת""\\*']",15-EZR-3,1,1,15-EZR
6," \w of|x-occurrence=""1"" x-occurrences=""6""","['\\zaln-s | x-strong=""c:b:H8141"" x-lemma=""שָׁנֶה"" x-morph=""He,C:R:Ncfsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וּ\u2060בִ\u2060שְׁנַ֣ת""\\*']",15-EZR-3,1,1,15-EZR
7,,"['\\zaln-s | x-strong=""c:b:H8141"" x-lemma=""שָׁנֶה"" x-morph=""He,C:R:Ncfsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וּ\u2060בִ\u2060שְׁנַ֣ת""\\*']",15-EZR-3,1,1,15-EZR
8," \w Cyrus|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""l:H3566"" x-lemma=""כּוֹרֶשׁ"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לְ\u2060כ֨וֹרֶשׁ֙""\\*']",15-EZR-4,1,1,15-EZR
9,,"['\\zaln-s | x-strong=""l:H3566"" x-lemma=""כּוֹרֶשׁ"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לְ\u2060כ֨וֹרֶשׁ֙""\\*']",15-EZR-4,1,1,15-EZR
10,", \w king|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H4428"" x-lemma=""מֶלֶךְ"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֶ֣לֶךְ""\\*']",15-EZR-5,1,1,15-EZR
11," \w of|x-occurrence=""2"" x-occurrences=""6""","['\\zaln-s | x-strong=""H4428"" x-lemma=""מֶלֶךְ"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֶ֣לֶךְ""\\*']",15-EZR-5,1,1,15-EZR
12,,"['\\zaln-s | x-strong=""H4428"" x-lemma=""מֶלֶךְ"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֶ֣לֶךְ""\\*']",15-EZR-5,1,1,15-EZR
13," \w Persia|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H6539"" x-lemma=""פָּרַס"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""2"" x-content=""פָּרַ֔ס""\\*']",15-EZR-6,1,1,15-EZR
14,,"['\\zaln-s | x-strong=""H6539"" x-lemma=""פָּרַס"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""2"" x-content=""פָּרַ֔ס""\\*']",15-EZR-6,1,1,15-EZR
15,", \w so|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""l:H3615"" x-lemma=""כָּלָה"" x-morph=""He,R:Vqc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לִ\u2060כְל֥וֹת""\\*']",15-EZR-7,1,1,15-EZR
16," \w that|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""l:H3615"" x-lemma=""כָּלָה"" x-morph=""He,R:Vqc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לִ\u2060כְל֥וֹת""\\*']",15-EZR-7,1,1,15-EZR
17,,"['\\zaln-s | x-strong=""l:H3615"" x-lemma=""כָּלָה"" x-morph=""He,R:Vqc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לִ\u2060כְל֥וֹת""\\*']",15-EZR-7,1,1,15-EZR
18," \w the|x-occurrence=""2"" x-occurrences=""5""","['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",15-EZR-8,1,1,15-EZR
19," \w word|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",15-EZR-8,1,1,15-EZR
20," \w of|x-occurrence=""3"" x-occurrences=""6""","['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",15-EZR-8,1,1,15-EZR
21,,"['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דְּבַר""\\*']",15-EZR-8,1,1,15-EZR
22," \w Yahweh|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָ֖ה""\\*']",15-EZR-9,1,1,15-EZR
23,,"['\\zaln-s | x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָ֖ה""\\*']",15-EZR-9,1,1,15-EZR
24," \w by|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""m:H6310"" x-lemma=""פֶּה"" x-morph=""He,R:Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מִ\u2060פִּ֣י""\\*']",15-EZR-10,1,1,15-EZR
25," \w the|x-occurrence=""3"" x-occurrences=""5""","['\\zaln-s | x-strong=""m:H6310"" x-lemma=""פֶּה"" x-morph=""He,R:Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מִ\u2060פִּ֣י""\\*']",15-EZR-10,1,1,15-EZR
26," \w mouth|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""m:H6310"" x-lemma=""פֶּה"" x-morph=""He,R:Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מִ\u2060פִּ֣י""\\*']",15-EZR-10,1,1,15-EZR
27," \w of|x-occurrence=""4"" x-occurrences=""6""","['\\zaln-s | x-strong=""m:H6310"" x-lemma=""פֶּה"" x-morph=""He,R:Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מִ\u2060פִּ֣י""\\*']",15-EZR-10,1,1,15-EZR
28,,"['\\zaln-s | x-strong=""m:H6310"" x-lemma=""פֶּה"" x-morph=""He,R:Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מִ\u2060פִּ֣י""\\*']",15-EZR-10,1,1,15-EZR
29," \w Jeremiah|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H3414"" x-lemma=""יִרְמְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יִרְמְיָ֑ה""\\*']",15-EZR-11,1,1,15-EZR
30,,"['\\zaln-s | x-strong=""H3414"" x-lemma=""יִרְמְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יִרְמְיָ֑ה""\\*']",15-EZR-11,1,1,15-EZR
31," \w might|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""l:H3615"" x-lemma=""כָּלָה"" x-morph=""He,R:Vqc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לִ\u2060כְל֥וֹת""\\*']",15-EZR-12,1,1,15-EZR
