,token,alg,alg_id,chapter,verse,book
0,"\w Now|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֖י""\\*']",17-EST-1,1,1,17-EST
1," \w it|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֖י""\\*']",17-EST-1,1,1,17-EST
2," \w happened|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֖י""\\*']",17-EST-1,1,1,17-EST
3,,"['\\zaln-s | x-strong=""c:H1961"" x-lemma=""הָיָה"" x-morph=""He,C:Vqw3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וַ\u2060יְהִ֖י""\\*']",17-EST-1,1,1,17-EST
4," \w in|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵ֣י""\\*']",17-EST-2,1,1,17-EST
5," \w the|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵ֣י""\\*']",17-EST-2,1,1,17-EST
6," \w days|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵ֣י""\\*']",17-EST-2,1,1,17-EST
7," \w of|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵ֣י""\\*']",17-EST-2,1,1,17-EST
8,,"['\\zaln-s | x-strong=""b:H3117"" x-lemma=""יוֹם"" x-morph=""He,R:Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בִּ\u2060ימֵ֣י""\\*']",17-EST-2,1,1,17-EST
9," \w Ahasuerus|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H0325"" x-lemma=""אֲחַשְׁוֵרוֹשׁ"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲחַשְׁוֵר֑וֹשׁ""\\*']",17-EST-3,1,1,17-EST
10,,"['\\zaln-s | x-strong=""H0325"" x-lemma=""אֲחַשְׁוֵרוֹשׁ"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲחַשְׁוֵר֑וֹשׁ""\\*']",17-EST-3,1,1,17-EST
11," (\w he|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H1931"" x-lemma=""הוּא"" x-morph=""He,Pp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ה֣וּא""\\*']",17-EST-4,1,1,17-EST
12," \w was|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H1931"" x-lemma=""הוּא"" x-morph=""He,Pp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ה֣וּא""\\*']",17-EST-4,1,1,17-EST
13,,"['\\zaln-s | x-strong=""H1931"" x-lemma=""הוּא"" x-morph=""He,Pp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ה֣וּא""\\*']",17-EST-4,1,1,17-EST
14," \w Ahasuerus|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s | x-strong=""H0325"" x-lemma=""אֲחַשְׁוֵרוֹשׁ"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲחַשְׁוֵר֗וֹשׁ""\\*']",17-EST-5,1,1,17-EST
15,,"['\\zaln-s | x-strong=""H0325"" x-lemma=""אֲחַשְׁוֵרוֹשׁ"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲחַשְׁוֵר֗וֹשׁ""\\*']",17-EST-5,1,1,17-EST
16,", \w the|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s | x-strong=""d:H4427a"" x-lemma=""מָלַךְ"" x-morph=""He,Td:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הַ\u2060מֹּלֵךְ֙""\\*']",17-EST-6,1,1,17-EST
17," \w one|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""d:H4427a"" x-lemma=""מָלַךְ"" x-morph=""He,Td:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הַ\u2060מֹּלֵךְ֙""\\*']",17-EST-6,1,1,17-EST
18," \w who|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""d:H4427a"" x-lemma=""מָלַךְ"" x-morph=""He,Td:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הַ\u2060מֹּלֵךְ֙""\\*']",17-EST-6,1,1,17-EST
19," \w ruled|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""d:H4427a"" x-lemma=""מָלַךְ"" x-morph=""He,Td:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הַ\u2060מֹּלֵךְ֙""\\*']",17-EST-6,1,1,17-EST
20,,"['\\zaln-s | x-strong=""d:H4427a"" x-lemma=""מָלַךְ"" x-morph=""He,Td:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הַ\u2060מֹּלֵךְ֙""\\*']",17-EST-6,1,1,17-EST
21," \w from|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""m:H1912"" x-lemma=""הֹדוּ"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֵ\u2060הֹ֣דּוּ""\\*']",17-EST-7,1,1,17-EST
22," \w India|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""m:H1912"" x-lemma=""הֹדוּ"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֵ\u2060הֹ֣דּוּ""\\*']",17-EST-7,1,1,17-EST
23,,"['\\zaln-s | x-strong=""m:H1912"" x-lemma=""הֹדוּ"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֵ\u2060הֹ֣דּוּ""\\*']",17-EST-7,1,1,17-EST
24," \w even|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:H5704"" x-lemma=""עַד"" x-morph=""He,C:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060עַד""\\*']",17-EST-8,1,1,17-EST
25," \w as|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""c:H5704"" x-lemma=""עַד"" x-morph=""He,C:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060עַד""\\*']",17-EST-8,1,1,17-EST
26," \w far|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""c:H5704"" x-lemma=""עַד"" x-morph=""He,C:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060עַד""\\*']",17-EST-8,1,1,17-EST
27," \w as|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s | x-strong=""c:H5704"" x-lemma=""עַד"" x-morph=""He,C:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060עַד""\\*']",17-EST-8,1,1,17-EST
28,,"['\\zaln-s | x-strong=""c:H5704"" x-lemma=""עַד"" x-morph=""He,C:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060עַד""\\*']",17-EST-8,1,1,17-EST
